"","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DATE","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_TEMPH","C_TEMPL","C_RH","C_RHL","C_RHH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_TEMPL","F_TEMPH","F_RH","F_RHL","F_RHH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY","UNIT_TYPE","ST_INC","ST_UNIT","FSCLASS","MAX_AREA_INC","FSCLASS_INC","AREA_Log","SUPPRESSION_BI","SUPP_DECREASE","SUPP_MIX","IMT_NUM"
"2729","2012_MT-BRF-005530_WATCHTOWER LAKE",NA,NA,1,NA,2012,"MT-BRF-005530","MT","27-Sep-12",271,1238,"WATCHTOWER LAKE",2012,"8-Aug-12",221,"8-Aug-12",221,"U",1039,"ACRES","WF","PZ","DeMoss","5","Type 4 IC","L","Lightning","Idaho",45.856667,114.505,NA,"MT","BRF","MTBRF","NR","Federal","USDA","FS","MT","BRF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"Federal","MT","MT","F",1090,"F",0.693147180559945,"NFS","0","0",5
"2730","2012_MT-BRF-005535_BEAVER JACK",NA,NA,1,NA,2012,"MT-BRF-005535","MT","27-Sep-12",271,1241,"BEAVER JACK",2012,"8-Aug-12",221,"8-Aug-12",221,"U",2224,"ACRES","WF","PZ","DeMoss","5","Type 4 IC","L","Lightning","Idaho",45.761667,114.671667,NA,"MT","BRF","MTBRF","NR","Federal","USDA","FS","MT","BRF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"Federal","MT","MT","F",2408,"F",0.693147180559945,"NFS","0","0",5
"2731","2012_ID-CWF-000631_SKULL",NA,NA,1,NA,2012,"ID-CWF-000631","ID","27-Sep-12",271,1244,"SKULL",2012,"9-Sep-12",253,"9-Sep-12",253,"U",530,"ACRES","WF","PZ","Mike Lubke","E","SOPL","L","Lightning","Clearwater",46.853056,115.445278,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P","25-Nov-12",NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Medium","High",NA,NA,"Federal","ID","ID","E",921,"E",5.6021188208797,"NFS","0","2",13
"2732","2012_ID-CWF-000632_ELIZABETH",NA,NA,1,NA,2012,"ID-CWF-000632","ID","27-Sep-12",271,1254,"ELIZABETH",2012,"9-Sep-12",253,"9-Sep-12",253,"U",900,"ACRES","WF","PZ","Tc Peterson","5","Type 4 IC","L","Lightning","Clearwater",46.784444,115.235278,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P","25-Nov-12",NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Medium","High",NA,NA,"Federal","ID","ID","E",1960,"F",2.77258872223978,"NFS","0","0",5
"2733","2012_ID-CWF-000638_ELLIE",NA,NA,1,NA,2012,"ID-CWF-000638","ID","27-Sep-12",271,1259,"ELLIE",2012,"9-Sep-12",253,"9-Sep-12",253,"U",1,"ACRES","WF","PZ","Mike Lubke","4","Type 3 IC","L","Lightning","Clearwater",46.784444,115.268611,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Low","Extreme",NA,NA,"Federal","ID","ID","B",1,"B",0.693147180559945,"NFS","0","0",4
"2734","2012_ID-CWF-000651_LIGHTNING CREEK","LIGHTNING CREEK COMPLEX","1",1,NA,2012,"ID-CWF-000651","ID","27-Sep-12",271,1305,"LIGHTNING CREEK",2012,"9-Sep-12",253,"9-Sep-12",253,"U",3,"ACRES","WF","MM","Mike Lubke","E","SOPL","L","Lightning","Clearwater",46.735556,115.417222,NA,"ID","CWF","IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Medium","Medium",NA,NA,"Federal","ID","ID","B",13,"C",0.693147180559945,"NFS","0","2",13
"2735","2012_ID-NPF-000652_WEST TROUT",NA,NA,1,NA,2012,"ID-NPF-000652","ID","27-Sep-12",271,1333,"WEST TROUT",2012,"10-Sep-12",254,"10-Sep-12",254,"I",1827,"ACRES","WF","PZ","n/a","5","Type 4 IC","L","Lightning","Idaho",46.16,114.885556,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"Federal","ID","ID","F",2325,"F",7.5109777520141,"NFS","0","0",5
"2736","2012_ID-NPF-000565_TROUT PEAK",NA,NA,1,NA,2012,"ID-NPF-000565","ID","27-Sep-12",271,1348,"TROUT PEAK",2012,"1-Sep-12",245,"1-Sep-12",245,"I",402,"ACRES","WF","PZ","na","5","Type 4 IC","L","Lightning","Idaho",46.156667,114.853056,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"Federal","ID","ID","E",717,"E",5.99893656194668,"NFS","0","0",5
"2737","2012_ID-NPF-000567_BELL POINT","POWELL SBW COMPLEX","1",1,NA,2012,"ID-NPF-000567","ID","27-Sep-12",271,1354,"BELL POINT",2012,NA,NA,"1-Sep-12",245,"I",469,"ACRES","WF","PZ",NA,NA,NA,"L","Lightning","Idaho",46.230556,114.749444,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,"Federal","ID","ID","E",1050,"F",6.1527326947041,"NFS","0","0",NA
"2738","2012_MT-LCF-002085_ELBOW PASS COMPLEX","ELBOW PASS COMPLEX","1",1,NA,2012,"MT-LCF-002085","MT","27-Sep-12",271,1410,"ELBOW PASS COMPLEX",2012,"12-Jul-12",194,"12-Jul-12",194,"U",25964,"ACRES","WF","PZ","Kevin Tveidt","5","Type 4 IC","L","Lightning","Lewis & Clark",47.409167,112.868889,2,"MT","LCF","MTLCF","NR","Federal","USDA","FS","MT","LCF",0,"P","1-Nov-12",NA,"CHAINS","1-Nov-12",NA,NA,2,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,116,"West",129,46,47,115,17,23,"10","Low","Extreme",NA,NA,"Federal","MT","MT","G",26128,"G",6.21660610108486,"NFS","0","2",5
"2739","2012_WY-TDX-000002_HORSETHIEF CANYON",NA,NA,NA,NA,2012,"WY-TDX-000002","WY","27-Sep-12",271,1741,"HORSETHIEF CANYON",2012,"8-Sep-12",252,"8-Sep-12",252,"U",3373,"ACRES","WF","FS","Gerdin/Filardo(t)","5","Type 4 IC","H","Human","Teton",43.399444,110.757778,NA,"WY","TDX","WYTDX","EB","County & Local","WY","C&L","WY","TDX",94,"P","25-Sep-12",NA,"MILES",NA,"19-Sep-12",NA,6,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Medium","High",5,NA,"County & Local","WY","WY","F",3373,"F",7.90137735379262,"FS","0","0",5
"2740","2012_ID-SCF-012151_HALSTEAD",NA,NA,1,NA,2012,"ID-SCF-012151","ID","27-Sep-12",271,1745,"HALSTEAD",2012,"27-Jul-12",209,"27-Jul-12",209,"U",179311,"ACRES","WF","PZ","Dan Bartel","3","Type 3 Team","L","Lightning","Custer",44.445833,115.166389,NA,"ID","SCF","IDSCF","EB","Federal","USDA","FS","ID","SCF",62,"P","16-Oct-12",NA,"CHAINS","16-Oct-12",NA,NA,3,0,0,"N","N","N","N",79,"SW",90,61,61,57,18,18,286,"W",166,53,48,90,13,14,"10","Medium","High",3,NA,"Federal","ID","ID","G",181948,"G",10.0566806311525,"NFS","1","0",3
