"","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DATE","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_RH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_RH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY"
"1085","2013_ID-STF-000423_KELLEY",NA,NA,NA,NA,2013,"ID-STF-000423","ID","03-Sep-13",246,1700,"KELLEY",2013,"24-Aug-13",236,"24-Aug-13",236,"U",16356,"ACRES","WF","FS","T. Dunford","2","Type 2 Team","L","Lightning","Elmore",43.556944,115.099722,NA,NA,NA,"IDSTF","EB","Federal","USDA","FS","ID","STF",34,"P",NA,NA,"CHAINS",NA,"07-Sep-13",NA,10,0,0,"N","N","Y","N","18","W","76","54","8-16","SE","84","30",10,"High","Extreme",2,1
"1086","2013_MT-BRF-13039_GOLD PAN COMPLEX","GOLD PAN COMPLEX",1,1,NA,2013,"MT-BRF-13039","MT","03-Sep-13",246,1700,"GOLD PAN COMPLEX",2013,"16-Jul-13",197,"16-Jul-13",197,"U",42690,"ACRES","WF","PZ","Jeff Handel","3","Type 3 Team","L","Lightning","Idaho",45.656944,114.779722,NA,NA,NA,"MTBRF","NR","Federal","USDA","FS","MT","BRF",0,"P",NA,NA,"CHAINS",NA,NA,NA,4,1,0,"N","N","Y","N","5","NNE","74","58","5-7","SSW","80","30-40",10,"High","High",NA,NA
"1087","2013_WY-SHF-437_BURROUGHS",NA,NA,1,NA,2013,"WY-SHF-437","WY","03-Sep-13",246,1700,"BURROUGHS",2013,"30-Aug-13",242,"30-Aug-13",242,"U",1794,"ACRES","WF","CC","Haslam","3","Type 3 Team","L","Lightning","Fremont",43.688333,109.663333,NA,NA,NA,"WYSHF","RM","Federal","USDA","FS","WY","SHF",14,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N","26","W","73","37","10","SW","63-67","40-46",10,"Medium","High",1,NA
"1088","2013_MT-FHA-075_MISSION FALLS",NA,NA,1,NA,2013,"MT-FHA-075","MT","03-Sep-13",246,1704,"MISSION FALLS",2013,"22-Jul-13",203,"22-Jul-13",203,"U",103,"ACRES","WF","MM","SWANEY","4","Type 3 IC","L","Lightning","LAKE",47.339444,113.930833,NA,NA,NA,"MTFHA","NR","Federal","USDI","BIA","MT","FHA",0,"P",NA,NA,"CHAINS",NA,NA,NA,NA,NA,NA,"N","N","N","N","8","WSW","60","51","5","sw","70-75","33-43",2,NA,NA,NA,NA
"1089","2013_ID-SCF-013331_NEZ PERCE",NA,NA,1,NA,2013,"ID-SCF-013331","ID","03-Sep-13",246,1730,"NEZ PERCE",2013,"30-Aug-13",242,"30-Aug-13",242,"U",300,"ACRES","WF","PZ","J. Edgren / R, White (T)","4","Type 3 IC","L","Lightning","Lemhi",45.580833,113.833056,NA,NA,NA,"IDSCF","EB","Federal","USDA","FS","ID","SCF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N","16","SE","87","38","8-12","SW","86","18",2,"Medium","High",4,NA
"1090","2013_MT-LNF-000933_HARRY'S FLAT",NA,NA,1,NA,2013,"MT-LNF-000933","MT","03-Sep-13",246,1730,"HARRY'S FLAT",2013,"27-Aug-13",239,"27-Aug-13",239,"U",468,"ACRES","WF","PZ","C. Seielstad","4","Type 3 IC","L","Lightning","Granite",46.53,113.763611,NA,NA,NA,"MTLNF","NR","Federal","USDA","FS","MT","LNF(MT-MDC)",5,"P","01-Oct-13",NA,"CHAINS","01-Oct-13","15-Sep-13",NA,0,0,0,"N","Y","N","N","10","SW","80","31","6","SW","84","28",10,"Medium","Extreme",NA,NA
"1091","2013_MT-GNF-0111_MINER PARADISE COMPLEX","MINER PARADISE COMPLEX",1,NA,NA,2013,"MT-GNF-0111","MT","03-Sep-13",246,1733,"MINER PARADISE COMPLEX",2013,"16-Aug-13",228,"16-Aug-13",228,"U",11909,"ACRES","WF","FS","Bennett","2","Type 2 Team","L","Lightning","Park",45.480556,110.895278,NA,NA,NA,"MTGNF","NR","Federal","USDA","FS","MT","GNF",60,"P","15-Oct-13",NA,"CHAINS","25-Oct-13",NA,NA,7,0,0,"N","N","Y","N","5","E","81","24","5","S","75","20",10,"Medium","Extreme",NA,NA
"1092","2013_MT-BDF-000246_BEAVER CREEK",NA,NA,NA,NA,2013,"MT-BDF-000246","MT","03-Sep-13",246,1800,"BEAVER CREEK",2013,"28-Aug-13",240,"28-Aug-13",240,"U",75,"ACRES","WF","FS","I. Karuzes","4","Type 3 IC","L","Lightning","Beaverhead",45.887222,113.520833,NA,NA,NA,"MTBDF","NR","Federal","USDA","FS","MT","BDF(MT-DDC)",0,"P","06-Sep-13",NA,"CHAINS","10-Aug-13","06-Aug-13",NA,0,NA,0,"N","N","N","N","15","W","70","25","5-10","W","50-65","35-55",10,"High","High",NA,NA
"1093","2013_WY-YNP-001309_DRUID COMPLEX","DRUID COMPLEX",1,1,NA,2013,"WY-YNP-001309","WY","03-Sep-13",246,1900,"DRUID COMPLEX",2013,"13-Aug-13",225,"13-Aug-13",225,"U",11681,"ACRES","WF","PZ","Andy Bundshuh","3","Type 3 Team","L","Lightning","Park",44.904722,110.183889,NA,NA,NA,"WYYNP","NR","Federal","USDI","NPS","WY","YNP",0,"P","01-Oct-13",NA,"MILES",NA,"01-Oct-13",NA,0,0,0,"N","Y","Y","N","12","SSW","68","45","10-15","SW","73","30",10,"Low","High",NA,NA
"1094","2013_ID-CWF-000723_FIRE CREEK COMPLEX","FIRE CREEK COMPLEX",1,1,NA,2013,"ID-CWF-000723","ID","04-Sep-13",247,1300,"FIRE CREEK COMPLEX",2013,"12-Aug-13",224,"12-Aug-13",224,"U",88,"ACRES","WF","MM","Brett Rogers","4","Type 3 IC","L","Lightning","Idaho",46.213333,115.41,NA,NA,NA,"IDCWF","NR","Federal","USDA","FS","ID","CWF",0,"M",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,8,"Medium","High",NA,NA
